request_id,request_type,priority,created_hour,created_day_of_week,created_at,completed_at,total_duration_hours,sla_hours,stage_created_duration,stage_assigned_duration,stage_verified_duration,stage_approved_duration,stage_processed_duration,handler_workload,final_stage,is_completed,is_delayed
REQ-SYN-0001,it_support,2,11,3,2025-08-21 11:33:00,2025-08-23 01:25:48,31.91,24,1.95,2.89,8.49,8.78,15.77,8,completed,1,1
REQ-SYN-0002,exam,1,13,1,2025-12-30 13:20:00,2025-12-31 16:34:24,27.24,96,0.91,3.27,1.2,6.48,15.38,5,completed,1,0
REQ-SYN-0003,hostel,2,10,2,2025-10-22 10:19:00,2025-10-23 19:13:00,32.9,48,1.98,4.69,3.14,4.17,18.92,10,completed,1,0
REQ-SYN-0004,transcript,3,9,1,2026-02-03 09:30:00,2026-02-04 11:39:36,26.16,120,2.45,4.05,0.82,10.94,7.9,4,completed,1,0
REQ-SYN-0005,hostel,1,23,2,2026-01-07 23:13:00,2026-01-09 12:40:36,37.46,48,3.39,1.38,0.85,12.01,19.83,2,completed,1,0
REQ-SYN-0006,hostel,1,8,2,2026-01-21 08:58:00,2026-01-22 09:01:00,24.05,48,1.24,4.31,11.93,6.47,0.1,5,completed,1,0
REQ-SYN-0007,certificate,2,9,3,2026-01-01 09:13:00,2026-01-04 13:10:36,75.96,72,3.36,9.93,9.52,11.3,41.85,6,completed,1,1
REQ-SYN-0008,certificate,2,8,4,2025-09-19 08:18:00,2025-09-20 10:57:00,26.65,72,2.45,2.17,4.48,10.48,7.07,4,completed,1,0
REQ-SYN-0009,certificate,2,12,4,2025-10-10 12:51:00,2025-10-12 00:59:24,36.14,72,2.03,7.28,9.67,0.1,17.06,1,completed,1,0
REQ-SYN-0010,library,2,9,5,2025-09-27 09:07:00,2025-09-28 18:19:00,33.2,48,1.75,3.96,6.48,4.53,16.48,1,completed,1,0
REQ-SYN-0011,transcript,2,19,4,2026-01-16 19:20:00,2026-01-18 01:51:12,30.52,120,3.54,2.5,0.93,8.75,14.8,1,completed,1,0
REQ-SYN-0012,library,2,15,5,2025-11-29 15:08:00,2025-11-30 18:40:24,27.54,48,2.94,4.92,5.34,7.54,6.8,5,completed,1,0
REQ-SYN-0013,transcript,1,9,4,2025-08-22 09:53:00,2025-08-23 16:54:48,31.03,120,1.33,5.87,3.17,9.5,11.16,3,completed,1,0
